Name,Code,E,N,Z,RMS_x,RMS_y,RMS_h,Solution,PDOP,Antenna name,Antenna measure type,Antenna height,Start time,End time
549,tn,396714.3,7412320.605,528.533,0.002,0.002,0.006,fixed,1.535,T300(NGS),Bottom of receiver,2,2025/06/28 14:10:38,2025/06/28 14:10:40
550,tn,396706.28,7412318.337,528.618,0.001,0.001,0.006,fixed,1.535,T300(NGS),Bottom of receiver,2,2025/06/28 14:10:46,2025/06/28 14:10:48
551,tn,396697.714,7412315.416,528.621,0.001,0.001,0.004,fixed,1.536,T300(NGS),Bottom of receiver,2,2025/06/28 14:10:54,2025/06/28 14:10:56
552,tn,396689.799,7412312.821,528.457,0.001,0.001,0.005,fixed,1.536,T300(NGS),Bottom of receiver,2,2025/06/28 14:11:01,2025/06/28 14:11:03
553,tn,396681.764,7412314.019,528.699,0.002,0.002,0.006,fixed,1.538,T300(NGS),Bottom of receiver,2,2025/06/28 14:11:45,2025/06/28 14:11:47
554,tn,396673.72,7412312.156,528.693,0.001,0.001,0.004,fixed,1.539,T300(NGS),Bottom of receiver,2,2025/06/28 14:11:53,2025/06/28 14:11:55
555,tn,396665.61,7412309.648,528.714,0.002,0.002,0.006,fixed,1.539,T300(NGS),Bottom of receiver,2,2025/06/28 14:12:00,2025/06/28 14:12:02
556,tn,396657.384,7412307.676,528.688,0.001,0.001,0.003,fixed,1.539,T300(NGS),Bottom of receiver,2,2025/06/28 14:12:07,2025/06/28 14:12:09
557,tn,396649.436,7412306.139,528.645,0.002,0.002,0.008,fixed,1.539,T300(NGS),Bottom of receiver,2,2025/06/28 14:12:14,2025/06/28 14:12:16
558,tn,396640.709,7412304.503,528.634,0.001,0.001,0.005,fixed,1.54,T300(NGS),Bottom of receiver,2,2025/06/28 14:12:22,2025/06/28 14:12:24
559,tn,396632.348,7412302.609,528.732,0.001,0.001,0.004,fixed,1.54,T300(NGS),Bottom of receiver,2,2025/06/28 14:12:45,2025/06/28 14:12:47
560,tn,396624.206,7412302.585,528.546,0.001,0.001,0.003,fixed,1.541,T300(NGS),Bottom of receiver,2,2025/06/28 14:12:53,2025/06/28 14:12:55
561,tn,396615.176,7412301.971,528.465,0.001,0.001,0.005,fixed,1.541,T300(NGS),Bottom of receiver,2,2025/06/28 14:13:01,2025/06/28 14:13:03
562,tn,396607.052,7412302.159,528.518,0.001,0.001,0.004,fixed,1.541,T300(NGS),Bottom of receiver,2,2025/06/28 14:13:08,2025/06/28 14:13:10
563,tn,396598.108,7412302.993,528.407,0.001,0.001,0.004,fixed,1.541,T300(NGS),Bottom of receiver,2,2025/06/28 14:13:16,2025/06/28 14:13:18
564,tn,396590.203,7412304.505,528.544,0.001,0.001,0.003,fixed,1.542,T300(NGS),Bottom of receiver,2,2025/06/28 14:13:23,2025/06/28 14:13:25
565,tn,396582.058,7412306.688,528.487,0.001,0.001,0.005,fixed,1.542,T300(NGS),Bottom of receiver,2,2025/06/28 14:13:30,2025/06/28 14:13:32
566,tn,396573.896,7412310.229,528.432,0.002,0.002,0.007,fixed,1.542,T300(NGS),Bottom of receiver,2,2025/06/28 14:13:38,2025/06/28 14:13:40
567,tn,396566.037,7412312.816,528.541,0.001,0.001,0.003,fixed,1.542,T300(NGS),Bottom of receiver,2,2025/06/28 14:13:47,2025/06/28 14:13:49
568,tn,396557.624,7412313.458,528.314,0.002,0.002,0.006,fixed,1.542,T300(NGS),Bottom of receiver,2,2025/06/28 14:13:56,2025/06/28 14:13:58
569,tn,396550.317,7412317.476,528.431,0.002,0.002,0.007,fixed,1.542,T300(NGS),Bottom of receiver,2,2025/06/28 14:14:04,2025/06/28 14:14:06
570,tn,396542.007,7412315.599,528.245,0.002,0.002,0.007,fixed,1.542,T300(NGS),Bottom of receiver,2,2025/06/28 14:14:16,2025/06/28 14:14:18
571,tn,396533.934,7412319.409,528.15,0.001,0.001,0.004,fixed,1.488,T300(NGS),Bottom of receiver,2,2025/06/28 14:14:24,2025/06/28 14:14:26
572,tn,396526.527,7412322.837,528.152,0.002,0.002,0.005,fixed,1.488,T300(NGS),Bottom of receiver,2,2025/06/28 14:14:31,2025/06/28 14:14:33
573,tn,396518.506,7412326.775,528.226,0.001,0.001,0.004,fixed,1.488,T300(NGS),Bottom of receiver,2,2025/06/28 14:14:39,2025/06/28 14:14:41
574,tn,396511.498,7412330.694,528.177,0.002,0.002,0.008,fixed,1.488,T300(NGS),Bottom of receiver,2,2025/06/28 14:14:46,2025/06/28 14:14:48
575,tn,396504.391,7412334.701,528.06,0.002,0.002,0.006,fixed,1.488,T300(NGS),Bottom of receiver,2,2025/06/28 14:14:53,2025/06/28 14:14:55
576,tn,396496.813,7412339.004,528.091,0.004,0.004,0.014,fixed,1.488,T300(NGS),Bottom of receiver,2,2025/06/28 14:15:01,2025/06/28 14:15:03
577,tn,396489.286,7412343.03,528.147,0.002,0.002,0.006,fixed,1.489,T300(NGS),Bottom of receiver,2,2025/06/28 14:15:09,2025/06/28 14:15:11
578,tn,396481.758,7412347.241,528.049,0.001,0.001,0.004,fixed,1.489,T300(NGS),Bottom of receiver,2,2025/06/28 14:15:17,2025/06/28 14:15:19
579,tn,396474.254,7412351.606,527.999,0.002,0.002,0.007,fixed,1.489,T300(NGS),Bottom of receiver,2,2025/06/28 14:15:25,2025/06/28 14:15:27
580,tn,396466.528,7412355.743,527.946,0.001,0.001,0.004,fixed,1.489,T300(NGS),Bottom of receiver,2,2025/06/28 14:15:33,2025/06/28 14:15:35
581,tn,396459.514,7412359.681,527.894,0.002,0.002,0.007,fixed,1.489,T300(NGS),Bottom of receiver,2,2025/06/28 14:15:40,2025/06/28 14:15:42
582,tn,396451.791,7412364.022,527.903,0.005,0.005,0.017,fixed,1.489,T300(NGS),Bottom of receiver,2,2025/06/28 14:15:48,2025/06/28 14:15:50
583,tn,396444.115,7412368.876,527.828,0.003,0.003,0.009,fixed,1.489,T300(NGS),Bottom of receiver,2,2025/06/28 14:15:56,2025/06/28 14:15:58
584,tn,396437.054,7412373.377,527.819,0.001,0.001,0.005,fixed,1.489,T300(NGS),Bottom of receiver,2,2025/06/28 14:16:03,2025/06/28 14:16:05
585,tn,396430.143,7412379.018,527.725,0.002,0.002,0.007,fixed,1.489,T300(NGS),Bottom of receiver,2,2025/06/28 14:16:11,2025/06/28 14:16:13
586,tn,396424.068,7412385.313,527.868,0.007,0.007,0.023,fixed,1.489,T300(NGS),Bottom of receiver,2,2025/06/28 14:16:19,2025/06/28 14:16:21
587,tn,396418.492,7412392.443,527.888,0.003,0.003,0.011,fixed,1.489,T300(NGS),Bottom of receiver,2,2025/06/28 14:16:27,2025/06/28 14:16:29
588,tn,396412.952,7412399.12,527.944,0.002,0.002,0.007,fixed,1.489,T300(NGS),Bottom of receiver,2,2025/06/28 14:16:35,2025/06/28 14:16:37
589,tn,396408.315,7412405.946,527.625,0.005,0.005,0.018,fixed,1.489,T300(NGS),Bottom of receiver,2,2025/06/28 14:16:42,2025/06/28 14:16:44
590,tn,396404.123,7412413.614,527.953,0.002,0.002,0.008,fixed,1.489,T300(NGS),Bottom of receiver,2,2025/06/28 14:16:50,2025/06/28 14:16:52
591,tn,396400.479,7412421.101,528.007,0.005,0.005,0.018,fixed,1.489,T300(NGS),Bottom of receiver,2,2025/06/28 14:16:58,2025/06/28 14:17:00
592,tn,396393.255,7412425.809,527.576,0.008,0.008,0.026,fixed,1.489,T300(NGS),Bottom of receiver,2,2025/06/28 14:17:07,2025/06/28 14:17:09
593,tn,396390.533,7412433.398,527.917,0.002,0.002,0.006,fixed,1.489,T300(NGS),Bottom of receiver,2,2025/06/28 14:17:26,2025/06/28 14:17:28
594,tn,396386.945,7412440.84,527.673,0.006,0.006,0.024,fixed,1.489,T300(NGS),Bottom of receiver,2,2025/06/28 14:17:33,2025/06/28 14:17:35
595,tn,396383.581,7412448.187,528.165,0.008,0.008,0.031,fixed,1.489,T300(NGS),Bottom of receiver,2,2025/06/28 14:17:40,2025/06/28 14:17:42
596,tn,396380.079,7412456.194,528.369,0.003,0.003,0.011,fixed,1.488,T300(NGS),Bottom of receiver,2,2025/06/28 14:17:48,2025/06/28 14:17:50
597,tn,396376.116,7412464.288,527.959,0.007,0.007,0.028,fixed,1.488,T300(NGS),Bottom of receiver,2,2025/06/28 14:17:57,2025/06/28 14:17:59
598,tn,396373.738,7412472.254,527.977,0.011,0.011,0.037,fixed,1.411,T300(NGS),Bottom of receiver,2,2025/06/28 14:18:05,2025/06/28 14:18:07
599,tn,396370.356,7412480.103,527.693,0.009,0.009,0.029,float,1.412,T300(NGS),Bottom of receiver,2,2025/06/28 14:18:14,2025/06/28 14:18:16
600,tn,396362.085,7412479.316,526.719,0.005,0.005,0.019,fixed,1.412,T300(NGS),Bottom of receiver,2,2025/06/28 14:18:33,2025/06/28 14:18:35
601,tn,396356.738,7412472.185,526.408,0.007,0.007,0.025,fixed,1.412,T300(NGS),Bottom of receiver,2,2025/06/28 14:18:42,2025/06/28 14:18:44
602,tn,396353.439,7412464.724,525.944,0.007,0.007,0.021,float,1.412,T300(NGS),Bottom of receiver,2,2025/06/28 14:18:51,2025/06/28 14:18:53
603,tn,396345.896,7412461.894,525.282,0.005,0.005,0.017,fixed,1.289,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:19:35,2025/06/28 14:19:37
604,tn,396341.22,7412468.465,525.194,0.006,0.006,0.024,fixed,1.289,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:19:44,2025/06/28 14:19:46
605,tn,396338.668,7412476.823,525.233,0.002,0.002,0.006,fixed,1.29,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:19:52,2025/06/28 14:19:54
606,tn,396337.079,7412485.444,525.059,0.005,0.005,0.017,fixed,1.29,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:20:00,2025/06/28 14:20:02
607,tn,396336.507,7412494.277,525.132,0.007,0.007,0.025,fixed,1.29,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:20:08,2025/06/28 14:20:10
608,tn,396336.435,7412502.398,524.962,0.007,0.007,0.025,float,1.29,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:20:16,2025/06/28 14:20:18
609,tn,396336.257,7412511.141,524.642,0.003,0.003,0.009,fixed,1.291,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:20:25,2025/06/28 14:20:27
610,tn,396335.767,7412519.529,524.318,0.008,0.008,0.032,fixed,1.291,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:20:34,2025/06/28 14:20:36
611,cerca,396327.654,7412529.797,524.778,0.009,0.009,0.045,float,1.411,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:21:22,2025/06/28 14:21:24
612,cerca,396336.151,7412542.214,524.87,0.001,0.001,0.005,fixed,1.399,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:21:47,2025/06/28 14:21:49
613,cerca,396347.414,7412558.95,525.459,0.011,0.011,0.031,fixed,1.399,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:22:18,2025/06/28 14:22:20
614,cerca,396354.159,7412569.208,525.913,0.009,0.009,0.032,fixed,1.356,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:22:39,2025/06/28 14:22:41
616,tn,396320.738,7412492.876,523.92,0.006,0.006,0.019,fixed,1.405,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:26:10,2025/06/28 14:26:12
617,tn,396321.095,7412483.918,524.171,0.005,0.005,0.014,fixed,1.407,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:26:27,2025/06/28 14:26:29
618,tn,396322.471,7412475.909,524.229,0.005,0.005,0.016,fixed,1.407,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:26:36,2025/06/28 14:26:38
619,tn,396324.757,7412467.811,524.237,0.006,0.006,0.017,float,1.408,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:26:46,2025/06/28 14:26:48
620,tn,396328.298,7412459.494,524.366,0.004,0.004,0.012,fixed,1.41,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:27:12,2025/06/28 14:27:14
621,tn,396331.923,7412452.129,524.503,0.007,0.007,0.022,fixed,1.411,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:27:21,2025/06/28 14:27:23
622,tn,396337.804,7412446.462,524.513,0.001,0.001,0.003,fixed,1.412,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:27:37,2025/06/28 14:27:39
623,tn,396342.063,7412439.011,524.663,0.002,0.002,0.007,fixed,1.412,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:27:49,2025/06/28 14:27:51
624,tn,396345.892,7412431.297,524.559,0.002,0.002,0.006,fixed,1.413,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:28:01,2025/06/28 14:28:03
625,tn,396349.102,7412423.925,524.76,0.003,0.003,0.008,fixed,1.414,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:28:10,2025/06/28 14:28:12
626,tn,396352.841,7412416.404,524.815,0.002,0.002,0.005,fixed,1.414,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:28:20,2025/06/28 14:28:22
627,tn,396356.615,7412408.925,524.463,0.005,0.005,0.015,fixed,1.415,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:28:29,2025/06/28 14:28:31
628,tn,396358.402,7412400.845,524.2,0.008,0.008,0.025,float,1.415,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:28:39,2025/06/28 14:28:41
629,poste,396361.675,7412400.218,524.506,0.004,0.004,0.011,fixed,1.334,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:29:00,2025/06/28 14:29:02
631,estrada,396361.673,7412392.101,524.078,0.003,0.003,0.008,fixed,1.336,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:29:25,2025/06/28 14:29:27
633,estrada,396361.612,7412392.186,524.099,0.001,0.001,0.004,fixed,1.337,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:29:41,2025/06/28 14:29:43
635,tn,396361.426,7412392.198,524.132,0.001,0.001,0.003,fixed,1.338,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:29:55,2025/06/28 14:29:57
636,tn,396361.875,7412383.828,523.948,0.003,0.003,0.009,fixed,1.339,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:30:16,2025/06/28 14:30:18
637,tn,396363.216,7412375.357,523.703,0.001,0.001,0.004,fixed,1.34,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:30:26,2025/06/28 14:30:28
638,tn,396366.167,7412367.862,523.645,0.002,0.002,0.005,fixed,1.34,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:30:34,2025/06/28 14:30:36
639,tn,396371.586,7412361.489,523.551,0.001,0.001,0.004,fixed,1.341,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:30:44,2025/06/28 14:30:46
640,tn,396378.038,7412355.511,523.544,0.002,0.002,0.005,fixed,1.341,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:30:53,2025/06/28 14:30:55
641,tn,396383.934,7412349.479,523.6,0.001,0.001,0.003,fixed,1.342,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:31:02,2025/06/28 14:31:04
642,tn,396390.102,7412343.521,523.588,0.002,0.002,0.005,fixed,1.342,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:31:12,2025/06/28 14:31:14
643,tn,396396.335,7412337.959,523.562,0.001,0.001,0.004,fixed,1.343,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:31:22,2025/06/28 14:31:24
644,tn,396402.749,7412332.857,523.606,0.001,0.001,0.004,fixed,1.343,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:31:31,2025/06/28 14:31:33
645,tn,396409.769,7412328.554,523.624,0.001,0.001,0.004,fixed,1.344,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:31:40,2025/06/28 14:31:42
646,tn,396417.163,7412323.585,523.579,0.002,0.002,0.006,fixed,1.344,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:31:53,2025/06/28 14:31:55
647,tn,396424.351,7412319.465,523.665,0.001,0.001,0.003,fixed,1.345,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:32:03,2025/06/28 14:32:05
648,tn,396431.334,7412315.537,523.672,0.002,0.002,0.005,fixed,1.345,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:32:12,2025/06/28 14:32:14
649,tn,396438.497,7412311.515,523.678,0.001,0.001,0.004,fixed,1.345,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:32:21,2025/06/28 14:32:23
650,tn,396445.901,7412307.219,523.703,0.002,0.002,0.005,fixed,1.345,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:32:30,2025/06/28 14:32:32
651,tn,396453.435,7412302.786,523.806,0.001,0.001,0.004,fixed,1.346,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:32:39,2025/06/28 14:32:41
652,tn,396460.487,7412298.864,523.64,0.002,0.002,0.006,fixed,1.346,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:32:48,2025/06/28 14:32:50
653,tn,396467.332,7412294.246,523.701,0.002,0.002,0.006,fixed,1.346,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:32:57,2025/06/28 14:32:59
654,tn,396474.82,7412290.094,523.759,0.001,0.001,0.004,fixed,1.347,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:33:07,2025/06/28 14:33:09
655,tn,396481.974,7412286.051,523.733,0.002,0.002,0.006,fixed,1.347,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:33:16,2025/06/28 14:33:18
656,tn,396489.384,7412282.153,523.784,0.001,0.001,0.004,fixed,1.347,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:33:25,2025/06/28 14:33:27
657,tn,396497.453,7412278.302,523.564,0.002,0.002,0.005,fixed,1.347,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:33:35,2025/06/28 14:33:37
658,tn,396505.446,7412274.901,523.648,0.001,0.001,0.004,fixed,1.347,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:33:44,2025/06/28 14:33:46
659,tn,396513.715,7412272.552,523.564,0.001,0.001,0.004,fixed,1.348,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:34:01,2025/06/28 14:34:03
660,tn,396521.754,7412269.16,523.628,0.001,0.001,0.004,fixed,1.348,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:34:09,2025/06/28 14:34:11
661,tn,396529.046,7412264.745,523.546,0.001,0.001,0.004,fixed,1.348,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:34:17,2025/06/28 14:34:19
662,tn,396536.12,7412259.737,523.577,0.002,0.002,0.005,fixed,1.348,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:34:26,2025/06/28 14:34:28
663,tn,396543.209,7412255.251,523.544,0.001,0.001,0.003,fixed,1.348,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:34:34,2025/06/28 14:34:36
664,tn,396550.863,7412250.686,523.53,0.002,0.002,0.005,fixed,1.348,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:34:42,2025/06/28 14:34:44
665,tn,396558.356,7412246.585,523.539,0.003,0.003,0.01,fixed,1.348,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:34:50,2025/06/28 14:34:52
666,tn,396565.562,7412242.69,523.518,0.001,0.001,0.004,fixed,1.348,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:34:58,2025/06/28 14:35:00
667,tn,396573.348,7412239.587,523.53,0.001,0.001,0.004,fixed,1.348,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:35:06,2025/06/28 14:35:08
668,tn,396581.372,7412237.163,523.41,0.002,0.002,0.004,fixed,1.348,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:35:14,2025/06/28 14:35:16
669,tn,396590.068,7412235.133,523.427,0.001,0.001,0.004,fixed,1.348,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:35:22,2025/06/28 14:35:24
670,tn,396597.991,7412233.763,523.428,0.001,0.001,0.003,fixed,1.348,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:35:33,2025/06/28 14:35:35
671,tn,396606.435,7412232.888,523.407,0.001,0.001,0.004,fixed,1.348,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:35:42,2025/06/28 14:35:44
672,tn,396615.161,7412232.422,523.435,0.001,0.001,0.004,fixed,1.348,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:35:51,2025/06/28 14:35:53
673,tn,396623.259,7412232.589,523.42,0.002,0.002,0.007,fixed,1.348,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:36:02,2025/06/28 14:36:04
674,tn,396631.566,7412233.013,523.535,0.001,0.001,0.003,fixed,1.348,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:36:13,2025/06/28 14:36:15
675,tn,396639.725,7412234.159,523.541,0.001,0.001,0.003,fixed,1.348,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:36:23,2025/06/28 14:36:25
676,tn,396648.171,7412235.951,523.516,0.001,0.001,0.004,fixed,1.348,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:36:33,2025/06/28 14:36:35
677,tn,396656.367,7412237.568,523.564,0.001,0.001,0.004,fixed,1.347,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:36:45,2025/06/28 14:36:47
678,tn,396664.139,7412239.48,523.6,0.001,0.001,0.004,fixed,1.347,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:36:56,2025/06/28 14:36:58
679,tn,396672.233,7412241.615,523.583,0.002,0.002,0.005,fixed,1.395,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:37:06,2025/06/28 14:37:08
680,tn,396680.171,7412243.404,523.536,0.002,0.002,0.006,fixed,1.395,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:37:17,2025/06/28 14:37:19
681,tn,396688.391,7412245.321,523.55,0.001,0.001,0.003,fixed,1.395,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:37:27,2025/06/28 14:37:29
682,tn,396696.87,7412247.142,523.947,0.001,0.001,0.003,fixed,1.395,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:37:54,2025/06/28 14:37:56
683,tn,396704.979,7412249.55,523.959,0.001,0.001,0.003,fixed,1.395,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:38:03,2025/06/28 14:38:05
684,tn,396712.679,7412251.988,523.998,0.002,0.002,0.005,fixed,1.395,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:38:12,2025/06/28 14:38:14
685,tn,396720.546,7412254.474,524.093,0.001,0.001,0.003,fixed,1.395,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:38:21,2025/06/28 14:38:23
686,tn,396728.366,7412256.966,524.089,0.001,0.001,0.003,fixed,1.395,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:38:31,2025/06/28 14:38:33
687,tn,396736.133,7412258.965,524.068,0.002,0.002,0.005,fixed,1.395,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:38:40,2025/06/28 14:38:42
688,tn,396744.569,7412261.633,524.14,0.001,0.001,0.003,fixed,1.395,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:38:50,2025/06/28 14:38:52
689,tn,396752.137,7412264.607,524.215,0.001,0.001,0.004,fixed,1.395,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:38:59,2025/06/28 14:39:01
690,tn,396760.703,7412265.024,524.62,0.001,0.001,0.003,fixed,1.385,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:43:29,2025/06/28 14:43:31
691,tn,396767.341,7412269.781,524.799,0.001,0.001,0.003,fixed,1.385,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:43:39,2025/06/28 14:43:41
692,tn,396774.482,7412275.31,524.881,0.001,0.001,0.003,fixed,1.384,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:43:48,2025/06/28 14:43:50
693,tn,396782.147,7412279.871,524.981,0.001,0.001,0.003,fixed,1.384,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:43:56,2025/06/28 14:43:58
694,tn,396789.728,7412283.325,525.155,0.001,0.001,0.003,fixed,1.383,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:44:04,2025/06/28 14:44:06
695,tn,396797.532,7412286.195,525.198,0.001,0.001,0.004,fixed,1.382,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:44:12,2025/06/28 14:44:14
696,tn,396805.276,7412288.213,525.111,0.001,0.001,0.004,fixed,1.382,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:44:20,2025/06/28 14:44:22
697,tn,396813.296,7412290.568,524.942,0.001,0.001,0.003,fixed,1.381,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:44:29,2025/06/28 14:44:31
698,tn,396821.834,7412292.617,524.871,0.001,0.001,0.004,fixed,1.38,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:44:37,2025/06/28 14:44:39
699,tn,396830.492,7412295.421,524.792,0.001,0.001,0.003,fixed,1.38,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:44:45,2025/06/28 14:44:47
700,tn,396838.835,7412298.222,524.782,0.001,0.001,0.004,fixed,1.379,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:44:54,2025/06/28 14:44:56
701,tn,396846.477,7412301.441,524.694,0.001,0.001,0.004,fixed,1.378,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:45:02,2025/06/28 14:45:04
702,tn,396851.402,7412308.2,524.83,0.001,0.001,0.003,fixed,1.378,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:45:11,2025/06/28 14:45:13
703,tn,396860.08,7412310.727,524.761,0.001,0.001,0.004,fixed,1.377,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:45:20,2025/06/28 14:45:22
704,tn,396868.197,7412313.173,524.79,0.001,0.001,0.005,fixed,1.376,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:45:28,2025/06/28 14:45:30
705,tn,396876.835,7412315.483,524.739,0.001,0.001,0.004,fixed,1.375,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:45:37,2025/06/28 14:45:39
706,tn,396884.953,7412317.781,524.847,0.001,0.001,0.004,fixed,1.375,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:45:45,2025/06/28 14:45:47
707,tn,396892.698,7412319.968,524.751,0.002,0.002,0.005,fixed,1.374,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:45:53,2025/06/28 14:45:55
708,tn,396901.061,7412322.073,524.817,0.001,0.001,0.003,fixed,1.373,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:46:05,2025/06/28 14:46:07
709,tn,396909.589,7412323.31,525.076,0.002,0.002,0.005,fixed,1.371,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:46:23,2025/06/28 14:46:25
710,estrada,396912.598,7412321.027,525.18,0.001,0.001,0.003,fixed,1.369,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:46:47,2025/06/28 14:46:49
711,estrada,396914.036,7412320.546,525.018,0.001,0.001,0.004,fixed,1.369,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:46:51,2025/06/28 14:46:53
712,estrada,396920.649,7412328.02,525.381,0.001,0.001,0.004,fixed,1.368,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:47:00,2025/06/28 14:47:02
713,estrada,396920.106,7412330.029,525.476,0.001,0.001,0.003,fixed,1.368,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:47:03,2025/06/28 14:47:05
714,estrada,396927.07,7412339.202,526.085,0.001,0.001,0.004,fixed,1.367,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:47:15,2025/06/28 14:47:17
715,estrada,396929.065,7412337.588,525.921,0.001,0.001,0.003,fixed,1.366,T300(NGS),Bottom of receiver,2.5,2025/06/28 14:47:21,2025/06/28 14:47:23
